"abies";"acer";"alnusfru";"alnusund";"apiaceae";"artemisia";"asterund";"betunana";"betula";"brassicaceae";"carpinus";"chenopodiaceae";"corylus";"cyperaceae";"ephedra";"ericaceae";"fagus";"fraxinus";"juniperus";"larix";"olea";"picea";"pinushap";"pinus";"plantago";"poaceae";"quercusever";"quercusdec";"salix";"tilia";"ulmus";"gdd5";"mtco";"pann";"e_pe";"tann";"mtwa";"long";"lati";"alti";"biome"
"es07";0;0.82;0;0.55;0;22.25;1.37;0;0;4.12;0;1.37;0;1.37;0.55;1.1;0;2.47;1.65;0.55;33.24;0;0;14.56;0;7.42;3.57;2.47;0.55;0;0;5550.589;9.348;2016.806;36.214;18.009;23.166;-3.32;37.05;3030;"XERO"
"es08";0;0;0;0;0.29;0;30.84;0;0;2.59;0.29;2.02;0;9.22;0;0;0;0;0;0;1.15;0;0;3.75;1.15;44.38;1.15;3.17;0;0;0;4339.671;10.052;608.38;53.451;16.726;23.447;-8.23;37.99;95;"WAST"
"es09";0;0;0;1.18;0.29;0.29;0.59;0;7.06;0.59;0;0;2.65;8.82;0;15.88;0;0;0.59;0;1.47;0;0;4.71;2.65;37.94;1.18;13.24;0.59;0;0.29;1510.962;-5.895;2113.001;107.912;6.694;18.292;-6.78;42.13;1600;"TEDE"
"es10";0;0;0;6.63;0;0;6.92;0;0.86;0.58;0;0.29;1.15;19.02;0;5.19;0;0;0;0;0.29;0;0;8.65;1.15;44.67;1.15;3.17;0.29;0;0;3201.302;5.26;762.455;64.981;13.561;21.818;-7.55;43.25;402;"WAST"
"es11";0;0;0;0;0;0.55;5.18;0;0;0.74;0;16.08;0;16.08;0;0;0;0;0;0;7.76;0;0;20.33;2.96;26.8;2.59;0.92;0;0;0;3653.718;5.707;472.51;39.455;14.694;22.888;-1.75;38.73;900;"WAST"
"es12";0.3;0;0;0.6;0;0;2.42;0;0;2.42;0;0;1.21;7.55;0;2.11;0;0;0.6;0;3.32;0;0;56.19;1.51;19.03;0.6;2.11;0;0;0;3983.085;8.687;729.398;59.599;15.706;22.842;-9;39.67;100;"WAST"
"es13";0;0;0;1.34;0.58;4.61;0.77;0;0;0.96;0;39.16;0.38;4.03;0;0.19;0;0;0.58;0;7.49;0;0;14.78;3.45;14.78;0;6.53;0;0;0.38;2890.132;2.394;516.276;47.689;12.342;21.595;-1.52;40.97;1000;"WAST"
"es14";0;0;0;1.17;0.2;0.2;2.34;0;0;0.39;0;0.39;0.39;3.32;0;1.95;0;0.39;0;0;0.98;0;0;10.16;0.78;75;0;2.15;0.2;0;0;3067.991;3.24;634.799;55.446;12.927;21.905;-4.48;42.57;980;"WAST"
"es15";0.31;0;0;7.67;0;0;3.37;0;0;1.23;0;0;0.61;3.37;0;6.13;0;0;0;0;0.31;0;0;40.49;6.13;29.45;0.92;0;0;0;0;2958.176;4.911;899.16;78.762;12.572;20.793;-9.03;43.18;2;"WAST"
"es16";0;0;0;0.41;0;0;7.72;0;0.41;4.47;0;0.41;0;1.63;0;8.13;0;0;0;0;0;0;0;14.63;3.25;15.04;5.69;37.8;0;0;0.41;3326.221;4.751;600.33;48.898;13.857;22.327;-6.25;40.67;850;"WAST"
"es17";0;0;0;0;0.68;0;20.82;0;0;7.85;0;0.68;0;16.04;0;0;0;0;0.34;0;13.31;0;0;29.35;0;7.85;0;3.07;0;0;0;2561.179;0.484;706.363;54.789;11.108;20.827;-2.5;38.38;1300;"WAST"
"es18";0;0;0;1.72;0.57;0;33.59;0;0.57;1.15;0;0.38;0.57;2.67;0;9.73;0;0.19;0;0;0.57;0;0;14.31;0.57;30.53;0.95;1.72;0.19;0;0;2988.847;3.867;652.338;57.723;12.991;21.697;-6.75;42.45;700;"WAST"
"es19";0;0;0;4.6;0;0;1.84;0;1.61;0.46;0;0;5;3;0;19.31;0;0;0;0;0;0;0;31.26;1.84;28.05;0.23;2.07;0;0;0;3199.147;5.193;755.948;64.262;13.558;21.841;-7.47;43.15;430;"TEDE"
"es20";0;0;0;0;0;0.31;0.93;0;0;0.93;0;9.91;0;4.33;0;1.55;0;1.24;0;0;15.48;0;0;34.37;3.72;8.98;7.74;8.67;0;0;0.62;3409.303;5.481;519.795;48.538;14.222;22.461;-2.83;39.42;700;"XERO"
"es21";0;0;0;1.34;0.19;1.15;2.87;0;0.38;0.96;0;27.92;0.19;1.34;0;1.15;0;0.19;0;0;19.12;0;0;9.94;4.02;11.28;7.07;10.13;0;0;0.76;3416.073;5.515;508.552;47.224;14.236;22.467;-3.28;39.42;700;"WAST"
"es22";0;0;0;0;0;0.29;0.57;0;0;0.57;0.29;52.3;0;1.15;0;0.86;0;0;0;0;1.15;0;0;8.05;0.57;25;4.02;4.89;0;0;0;3408.919;5.482;518.656;48.447;14.221;22.46;-2.87;39.42;700;"WAST"
"es23";0;0;0;0.27;0;0;13.08;0;0;0.82;0;0.54;0;0.54;0;0;0;0.27;1.36;0;1.36;0;0;35.97;1.09;39.78;2.72;1.63;0;0;0.27;2225.727;-1.191;636.003;62.353;9.909;20.206;-1.91;40.05;1300;"WAST"
"es24";0;0;0;0;0;1.14;2.67;0;0;1.71;0;13.33;0;0.76;0;0.57;0.19;0;0.38;0;28.95;0;0;12.57;2.48;12.95;8.19;13.71;0.38;0;0;4504.126;10.089;521.374;41.167;17.356;24.172;-4.81;37.03;460;"XERO"
"es25";0;0;0;0;0.27;0.27;1.87;0;0;1.6;0;1.6;0;6.95;0;1.07;0;0.27;1.6;0;37.97;0;0;5.35;5.62;5.62;3.74;25.4;0.53;0;0.27;4281.129;8.514;491.841;37.23;16.613;23.927;-4.3;37.1;800;"XERO"
"es26";0;0;0;0;0;0.86;1.43;0;0.29;0.29;0;0.57;0.57;4.58;0;0.29;0;0;4.58;0;7.16;0;0;48.14;2.87;14.9;5.73;7.74;0;0;0;2117.92;-2.204;625.892;60.645;9.266;19.872;-1.6;40.72;1400;"XERO"
"es27";0;0;0;0;0;0;0.28;0;0;1.71;0;41.03;0.14;0.85;0;0.28;0;0;0;0;2.42;0;0;44.87;0.14;7.55;0;0.71;0;0;0;3224.691;5.446;565.885;60.651;13.806;22.023;-0.17;41.03;400;"XERO"
"es28";0;0;0;0.29;0;1.43;0.57;0;0.29;2.86;0;22.29;0;3.14;0;0;0;0;0;0;10.86;0;0;20;1.43;24.86;0.29;11.43;0;0;0.29;4267.433;8.069;445.415;34.062;16.513;23.975;-1.45;38.78;850;"WAST"
"es29";0;0;0;1.3;0;1.82;1.82;0;1.04;1.82;0;2.6;0;0.78;0;2.34;0;0;0.78;0;7.29;0;0;51.04;1.82;10.42;0.78;14.32;0;0;0;3325.541;5.954;586.237;60.854;13.98;22.036;-0.17;41.8;280;"WAMX"
"es30";0;0;0;0.37;0;0;0.93;0;0.56;0.75;0.19;0.19;1.68;0.75;0;5.22;1.12;0;0;0;0.56;0;0;81.9;0.37;3.17;0.37;1.87;0;0;0;1710.167;-5.428;725.003;71.729;7.099;18.643;-2.87;42;1700;"TEDE"
"es31";0;0;0;0;0.91;2.13;0;0;4.86;1.22;0.3;0.91;2.13;0.91;0;5.47;1.52;1.22;2.43;0;4.86;0;0;47.11;3.04;8.21;3.95;8.81;0;0;0;1710.167;-5.428;725.003;71.729;7.099;18.643;-2.87;42;1700;"WAMX"
"es32";0;0;0;0.7;1.39;1.05;1.05;0;0;1.05;0;4.18;0;19.16;0;2.44;0;0;1.74;0;2.79;0;0;36.59;7.67;10.45;2.44;6.97;0;0;0;2277.364;-0.681;603.716;61.607;10.183;20.323;-2.57;41.17;1200;"WAST"
"es33";0;0;0;0.64;0.64;0;6.09;0;0.64;1.6;0;0.64;1.6;50.64;0;1.6;0.32;0;0;0;0.32;0;0;6.73;2.56;24.36;0.32;1.28;0;0;0;3200.109;4.348;706.799;60.648;13.546;22.185;-4.15;42.99;800;"WAST"
"es34";0;0;0;0;0.52;33.85;6.46;0;0;1.03;0;2.33;0;3.62;0;0;0;0;0.52;0;18.09;0;0;8.27;1.03;21.45;0.78;2.07;0;0;0;5554.798;9.365;2017.559;36.216;18.022;23.174;-3.33;37.05;3030;"WAST"
"es35";0;0;0;0;0.27;1.1;0.27;0;0;4.12;0;0.27;0;9.07;0;0.27;0;8.24;1.1;0;16.48;0;0;45.88;0.55;2.75;3.3;1.92;4.4;0;0;5425.695;8.871;2077.926;40.813;17.665;22.945;-3.37;37.05;3050;"XERO"
"es36";0.48;0;0;0;0;0.24;0;0;0;1.9;0;0;0;7.86;0;0;0;1.19;0;0;14.05;0;0;67.14;0.24;3.33;1.67;1.67;0.24;0;0;2659.952;1.145;707.571;55.905;11.528;21.024;-2.8;37.95;1250;"XERO"
"es37";0.97;0;0;0;0;1.94;0.97;0;0.49;0.73;0;0.97;0;2.18;0;4.13;0.49;0.49;0;0;2.91;0.49;0;56.8;1.46;18.69;1.7;4.13;0;0;0.49;1394.059;-8.362;824.372;78.815;5.151;17.518;-2.85;41.99;2000;"XERO"
"es38";0;0;0;0;0.26;0;3.09;0;0;0.77;0;0.52;0;55.41;0;0.26;0;0.26;1.55;0;7.22;0;0;24.74;0;1.55;0.52;3.87;0;0;0;3500.361;4.854;532.171;43.598;14.154;22.592;-2.52;38.5;1000;"WAST"
"es39";0;0;0;3.34;0.33;1.34;2.68;0;0;2.01;0;13.38;0;3.34;0;1.34;0;4.35;14.38;0;9.36;0;0;13.71;6.02;12.37;3.34;7.69;0;0;1;3315.447;5.142;500.77;47.568;13.949;22.302;-3.28;39.68;700;"WAST"
"es40";0.27;0;0;1.62;0.54;0.27;1.08;0;7.55;0;0;0.27;0;0.54;0;22.37;0;0.27;0.81;0;2.16;0.27;0;6.2;2.7;38.81;1.35;12.67;0;0;0.27;1464.95;-6.332;2235.142;112.099;6.412;18.132;-6.79;42.13;1643;"TEDE"
"es41";0;0;0;0.32;0;0.65;1.94;0;0;1.94;0;3.24;0;0.97;0;1.29;0;0.97;6.47;0.32;19.42;0;0;16.5;2.91;16.5;11.33;12.62;0;0;2.59;3405.125;5.474;504.64;46.985;14.202;22.448;-3.35;39.45;700;"XERO"
"es42";0;0;0;0.66;0;0;1.65;0;2.64;1.65;0;0;1.32;1.32;0;16.5;0;0;0;0;0.33;0;0;5.28;0.66;67.33;0;0.66;0;0;0;2254.515;-0.212;800.048;64.214;10.311;20.281;-6.89;43.33;1040;"WAST"
"es43";0;0;0;0.37;0;1.47;0;0;0;0.74;0;4.78;0;1.47;0;0.37;0;0;8.46;0;16.54;0;0;6.25;2.57;26.47;5.88;23.9;0;0;0.74;3405.125;5.474;504.64;46.985;14.202;22.448;-3.35;39.45;700;"XERO"
"es44";0;0;0;0;0;4.01;1;0;0;1.34;0;8.7;0;4.68;0;0;0;0;5.02;0;11.37;0;0;37.79;1;14.72;2.68;7.36;0;0;0.33;3231.121;5.621;567.616;61.508;13.818;21.961;-0.17;41.05;330;"XERO"
"es45";0;0;0;0;0.27;1.09;0.82;0;0;1.09;0;20.11;0;2.17;0;0.54;0;0;2.99;0;8.42;0;0;28.26;1.9;22.28;4.89;4.35;0.27;0;0.54;3319.795;6.22;578.796;62.464;13.946;21.862;-0.15;41.23;150;"XERO"
"es46";0;0;0;0;0;6.89;0.9;0;0;1.8;0;2.99;0;4.19;0;0.6;0.3;0;3.59;0;23.05;0;0;25.15;1.8;15.27;4.49;8.38;0;0;0.6;3348.123;6.269;576.216;61.515;14.035;21.95;-0.13;41.27;177;"XERO"
"es47";0;0;0;0.29;0;4.34;0;0;0;1.16;0;29.48;0;7.8;0;0.29;0;0;0.58;0;8.96;0;0;26.59;1.16;11.85;0.29;5.2;0;0.29;1.73;3341.297;6.021;570.616;59.965;14.069;22.098;-0.15;41.23;300;"WAST"
"k180";0;0;0;49.1;0;0.2;0;0;24.3;0;0;0;0;9.4;0;0.7;0;0;0.2;0;0;13.6;0;0;0;1.6;0;0;0.9;0;0;534.707;-29.677;752.962;53.408;-7.698;13.398;-151.42;67.59;650;"COMX"
"k183";0;0;0;38.86;0;0.5;0;0;27.61;0;0;0;0;14.26;0;1.61;0;0;1.1;0;0;11.75;0;0;0;1.61;0;0;2.71;0;0;569.258;-29.001;192.982;71.928;-7.221;13.687;-151.4;67.59;549;"COMX"
"k186";0;0;0;23.14;0;0;0;0;38.03;0;0;0;0;2.52;0;0;0;0;0;0;0;34.21;0;0;0;0.4;0;0;1.71;0;0;651.556;-28.149;49.992;84.651;-6.388;14.381;-147.53;66.07;250;"COMX"
"k187";0;0;0;60.16;0;1;0;0;23.32;0;0;0;0;5.41;0;0.9;0;0;0;0;0;7.31;0;0;0;0.3;0;0;1.6;0;0;568.646;-29.027;98.755;74.87;-7.263;13.673;-154.55;67.71;460;"COMX"
"k188";0;0;0;31.8;0;0;0;0;33.2;0;0;0;0;4.81;0;0.9;0;0;0;0;0;25.48;0;0;0;2.21;0;0;1.6;0;0;697.355;-27.259;371.619;87.873;-5.82;14.654;-153.51;66.73;200;"COMX"
"k189";0;0;0;25.25;0;0.2;0;0;27.35;0;0;0;0;2.71;0;0;0;0;0;0;0;40.38;0;0;0;1.4;0;0;2.71;0;0;605.836;-29.101;156.987;67.549;-7.056;13.988;-145.79;66.05;183;"COMX"
"k190";0;0;0;12.4;0;0.9;0;0;25.9;0;0;0;0;40.9;0;6.4;0;0;0;0;0;2.8;0;0;0;6.9;0;0;3.8;0;0;595.071;-30.238;331.578;63.105;-7.697;13.838;-153.25;69.97;32;"COMX"
"k191";0;0;0;17.95;0;3.65;0;0;23.63;0;0;0.2;0;38.95;0;4.87;0;0;0;0;0;1.93;0;0;0;6.59;0;0;2.23;0;0;582.907;-30.631;427.258;56.571;-8.023;13.644;-157.4;70.43;20;"COMX"
"k192";0;0;0;14.91;0;1.3;0;0;19.82;0;0;0;0;39.44;0;5.31;0;0;0;0;0;1.8;0;0.4;0;13.11;0;0;3.9;0;0;553.821;-31.262;289.602;55.014;-8.374;13.511;-153.77;70.55;2;"COMX"
"k193";0;0;0;9.91;0;0.2;0;0;24.92;0;0;0;0;41.24;0;3.8;0;0;0;0;0;3.1;0;0;0;13.01;0;0;3.8;0;0;636.068;-29.631;269.466;71.795;-7.147;14.219;-161.45;70.15;13;"COMX"
"k194";0;0;0;7.85;0;0.5;0;0;20.44;0;0;0;0;33.74;0;8.56;0;0;0;0;0;0.7;0;0;0;24.57;0;0;3.63;0;0;616.772;-29.97;473.13;62.071;-7.542;13.913;-158.4;70.7;22;"COMX"
"k195";0;0;0;4.6;0;2.6;0;0;8.21;0;0;0.2;0;35.94;0;5.11;0;0;0;0;0;1.6;0;0;0;38.14;0;0;3.6;0;0;435.404;-33.482;65.778;35.261;-9.999;12.586;-156.37;71.23;3;"COMX"
"k197";0;0;0;8.6;0;0.2;0;0;11;0;0;0;0;56.2;0;1.3;0;0;0;0;0;1.1;0;0;0;18.1;0;0;3.5;0;0;466.92;-32.877;107.235;42.529;-9.543;12.846;-154.67;70.93;3;"COMX"
"k198";0;0;0;11.14;0;1.01;0;0;28.98;0;0;0.2;0;36.78;0;7.09;0;0;0;0;0;1.42;0;0;0;10.13;0;0;3.24;0;0;709.81;-27.767;605.278;77.489;-6.114;14.6;-156.05;69.48;91;"COMX"
"k199";0;0;0;8.79;0;0.7;0;0;10.49;0;0;0;0;28.37;0;4.2;0;0;0;0;0;0.7;0;0;0;42.86;0;0;3.9;0;0;449.585;-33.208;101.118;36.496;-9.806;12.696;-156.52;71.13;4;"COMX"
"k201";0;0;0;47.45;0;0.51;0;0;29.94;0;0;0;0;5.3;0;2.44;0;0;0;0;0;8.04;0;0;0;5.8;0;0;0.51;0;0;839.678;-25.275;818.352;105.1;-4.226;15.718;-160.38;67.1;91;"COMX"
"k202";0;0;0;28.26;0;0.21;0;0;40.39;0;0;0;0;9.66;0;2.77;0;0;0;0;0;9.15;0;0;0;8.32;0;0;1.23;0;0;626.392;-29.012;239.917;85.234;-6.936;14.176;-157.25;66.58;114;"COMX"
"k203";0;0;0;12.86;0;7.24;0;0;17.09;0;0;0;0;26.63;0;3.92;0;0;0;0;0;3.32;0;0;0;22.71;0;0;6.23;0;0;616.204;-29.035;265.154;71.866;-7.054;14.003;-153.25;69.58;152;"COMX"
"k207";0;0;0;28.6;0;0;0;0;27.8;0;0;0;0;6.1;0;0.6;0;0;0;0;0;32.9;0;0;0;2.2;0;0;1.8;0;0;672.859;-28.025;335.658;86.621;-6.285;14.484;-155.73;66.83;145;"COMX"
"k208";0;0;0;45.75;0;0.2;0;0;30.53;0;0;0;0;3;0;0;0;0;0.4;0;0;16.52;0;0;0;1.7;0;0;1.9;0;0;671.993;-28.041;334.564;86.353;-6.297;14.476;-155.71;66.86;145;"COMX"
"k209";0;0;0;34.7;0;0.5;0;0;23.67;0;0;0;0;3.21;0;0.7;0;0;0;0;0;33.1;0;0;0;2.71;0;0;1.4;0;0;675.741;-28.109;366.484;84.252;-6.31;14.496;-155.03;66.91;122;"COMX"
"k212";0;0;0;3.4;0;2.5;0;0;10.6;0;0;0;0;46.9;0;11.1;0;0;0;0;0;0.5;0;0;0;23.5;0;0;1.5;0;0;700.278;-28.015;392.155;105.092;-6.032;14.88;-166.47;65.94;46;"COMX"
"k213";0;0;0;3.9;0;1.3;0;0;10.5;0;0;0;0;43.5;0;10.6;0;0;0;0;0;0.5;0;0;0;29.2;0;0;0.5;0;0;638.518;-29.642;213.076;63.624;-7.068;14.329;-166.28;66.09;9;"COMX"
"k214";0;0;0;3.8;0;3.1;0;0;15.02;0;0;0;0;40.44;0;4.7;0;0;0;0;0;0.2;0;0;0;32.53;0;0;0.2;0;0;640.135;-29.612;219.438;64.646;-7.046;14.34;-165.5;66.36;9;"COST"
"k215";0;0;0;6.7;0;1;0;0;18.5;0;0;0;0;40.5;0;7.5;0;0;0;0;0;1.3;0;0;0;24.3;0;0;0.2;0;0;798.837;-26.7;664.482;89.675;-5.047;15.431;-164.4;66.13;21;"COMX"
"k216";0;0;0;10.61;0;1.2;0;0;14.21;0;0;0;0;40.74;0;7.41;0;0;0;0;0;2.4;0;0.2;0;22.32;0;0;0.9;0;0;741.294;-27.778;519.09;81.591;-5.79;15.02;-164.27;66.55;15;"COMX"
"k217";0;0;0;8.78;0;2.3;0;0;14.47;0;0;0;0;36.63;0;7.98;0;0;0;0;0;2;0;0.2;0;27.45;0;0;0.2;0;0;729.413;-27.928;457.392;81.19;-5.899;14.94;-163.95;66.52;14;"COMX"
"k218";0;0;0;20.9;0;1.41;0;0;17.39;0;0;0;0;21.61;0;0;0;0;0;0;0;4.92;0;0.2;0;32.86;0;0;0.7;0;0;593.709;-30.414;209.083;77.644;-7.688;13.973;-159.13;66.33;9;"COMX"
"k219";0;0;0;13.73;0;0.2;0;0;23.95;0;0;0;0;6.71;0;0.7;0;0;0;0;0;53.31;0;0;0;1.2;0;0;0.2;0;0;737.021;-27.404;575.443;107.877;-5.681;15.027;-157.93;64.6;46;"COMX"
"k220";0;0;0;16.2;0;0;0;0;30.89;0;0;0;0;7.14;0;1.91;0;0;0;0;0;39.03;0;0;0;4.33;0;0;0.5;0;0;782.626;-26.635;673.039;106;-5.119;15.328;-156.84;64.92;46;"COMX"
"k221";0;0;0;12.89;0;0.5;0;0;38.97;0;0;0;0;9.67;0;0.5;0;0;0;0;0;24.37;0;0.2;0;8.96;0;0;3.93;0;0;795.445;-26.17;688.437;109.004;-4.857;15.416;-156.91;65.28;74;"COMX"
"k222";0;0;0;12.24;0;0.2;0;0;34.3;0;0;0;0;7.02;0;2.51;0;0;0;0;0;38.42;0;0;0;4.21;0;0;1.1;0;0;789.266;-26.416;692.056;108.222;-4.997;15.375;-157.15;65.64;55;"COMX"
"k223";0;0;0;19.74;0;1.93;0;0;23.19;0;0;0;0;26.65;0;9.46;0;0;0;0;0;5.7;0;0;0;11.09;0;0;2.24;0;0;828.331;-25.602;679.452;110.489;-4.369;15.675;-163.9;65.58;96;"COMX"
"k224";0;0;0;31.17;0;0.3;0;0;20.48;0;0;0;0;24.18;0;9.49;0;0;0;0;0;0.3;0;0;0;13.79;0;0;0.3;0;0;679.646;-28.848;363.758;78.38;-6.548;14.579;-161.18;66.19;12;"COMX"
"k225";0;0;0;12.6;0;0.7;0;0;15.7;0;0;0;0;27.1;0;12.1;0;0;0;0;0;0.7;0;0;0;30.4;0;0;0.7;0;0;683.049;-28.768;398.879;77.529;-6.486;14.6;-161.79;66.4;12;"COMX"
"k229";0;0;0;8.6;0;0.8;0;0;17.1;0;0;0;0;36.4;0;24.7;0;0;0;0;0;3.6;0;0;0;7.7;0;0;1.1;0;0;874.698;-24.862;940.993;100.994;-3.844;15.953;-162.55;67.65;39;"COMX"
"k230";0;0;0;21.65;0;0.5;0;0;21.65;0;0;0;0;37.56;0;4.63;0;0;0;0;0;6.04;0;0;0;6.34;0;0;1.61;0;0;621.724;-29.961;244.611;68.677;-7.3;14.162;-162.82;67.38;5;"COMX"
"k231";0;0;0;7.92;0;0.5;0;0;19.86;0;0;0;0;45.74;0;12.64;0;0;0;0;0;0.5;0;0;0;12.64;0;0;0.2;0;0;633.258;-29.77;247.655;69.952;-7.162;14.26;-164.07;67.64;6;"COMX"
"k232";0;0;0;17.4;0;0;0;0;50.7;0;0;0;0;2.01;0;0.4;0;0;0;0.4;0;25.05;0;0;0;3.12;0;0;0.91;0;0;649.51;-28.289;98.752;85.494;-6.449;14.39;-146.85;64.43;218;"COCO"
"k236";0;0;0;35.04;0;1.4;0;0;26.93;0;0;0;0;3.6;0;0.5;0;0;0.4;0;0;26.03;0;0.2;0;2.7;0;0;3.2;0;0;602.588;-27.35;398.496;75.575;-6.237;13.869;-145.65;63.19;906;"COMX"
"k237";0;0;0;36.14;0;2.2;0;0;29.93;0;0;0;0;3.1;0;0.4;0;0;0.4;0;0;25.43;0;0.4;0;1.3;0;0;0.7;0;0;627.407;-26.668;737.447;72.343;-5.831;13.977;-145.5;63.12;978;"COMX"
"k238";0;0;0;23.02;0;1.21;0;0;22.31;0;0;0;0;6.63;0;1.31;0;0;0;0;0;30.55;0;0.4;0;10.65;0;0;3.92;0;0;591.912;-27.725;181.364;79.059;-6.441;13.847;-145.99;63.05;851;"COMX"
"k239";0;0;0;20.9;0;0.5;0;0;16.28;0;0;0;0;3.72;0;0.7;0;0;0;0;0;54.17;0;0.5;0;0.9;0;0;2.31;0;0;585.875;-28.033;86.697;81.292;-6.602;13.848;-145.51;62.95;781;"COMX"
"k240";0;0;0;37.5;0;0.2;0;0;22.18;0;0;0;0;1.71;0;0.2;0;0;0;0;0;33.06;0;0;0;2.72;0;0;2.42;0;0;604.888;-27.702;173.572;78.751;-6.373;13.972;-144.19;62.71;713;"COMX"
"k241";0;0;0;18.33;0;0.2;0;0;17.82;0;0;0;0;7.55;0;1.91;0;0;0;0;0;47.43;0;0.2;0;4.13;0;0;2.42;0;0;553.722;-28.701;69.707;73.948;-7.059;13.625;-143.8;62.91;689;"COMX"
"k242";0;0;0;19.96;0;0;0;0;31.25;0;0;0;0;10.99;0;0.2;0;0;0;0;0;34.78;0;0;0;1.11;0;0;1.71;0;0;613.503;-28.09;242.684;77.933;-6.58;14.027;-142.29;63.23;549;"COMX"
"k243";0;0;0;17.29;0;0.2;0;0;24.52;0;0;0;0;2.14;0;0;0;0;0;0;0;53.71;0;0.71;0;0.71;0;0;0.71;0;0;629.151;-27.923;297.635;78.77;-6.444;14.134;-141.64;62.98;518;"COMX"
"k244";0;0;0;20.06;0;0;0;0;29.29;0;0;0;0;1;0;0.2;0;0;0;0;0;47.84;0;0.2;0;0.7;0;0;0.7;0;0;629.518;-27.879;310.943;78.571;-6.421;14.133;-141.55;62.89;528;"COMX"
"k245";0;0;0;18.75;0;0;0;0;36.78;0;0;0;0;5.23;0;0.61;0;0;0;0;0;34.53;0;0.2;0;2.66;0;0;1.23;0;0;648.761;-27.411;462.112;77.438;-6.124;14.246;-141.07;62.65;549;"COMX"
"k251";0;0;0;23.59;0;0;0;0;43.88;0;0;0;0;2.01;0;0.2;0;0;0;0;0;28.82;0;0;0;1.31;0;0;0.2;0;0;746.089;-26.949;482.893;98.774;-5.408;15.055;-154.62;63.02;120;"COMX"
"k252";0;0;0;23.72;0;0.2;0;0;36.98;0;0;0;0;2.41;0;0.4;0;0;0;0;0;32.96;0;0;0;2.61;0;0;0.7;0;0;749.993;-27.138;514.945;94.703;-5.481;15.077;-156.83;61.62;74;"COMX"
"k253";0;0;0;28.34;0;0.2;0;0;26.03;0;0;0;0;1.01;0;1.01;0;0;0;0;0;37.89;0;0;0;4.82;0;0;0.7;0;0;756.848;-26.361;460.519;100.652;-5.102;15.127;-155.65;61.56;186;"COMX"
"k254";0;0;0;26.07;0;0.83;0;0;36.81;0;0;0;0;5.21;0;5.21;0;0;0;0;0;14.29;0;0;0;10.11;0;0;1.46;0;0;766.278;-26.258;491.987;99.6;-5.014;15.189;-155.74;61.24;169;"COMX"
"k255";0;0;0;32.93;0;0.6;0;0;30.62;0;0;0;0;7.83;0;1.41;0;0;0;0;0;19.38;0;0;0;5.52;0;0;1.71;0;0;661.151;-27.463;400.543;82.149;-6.09;14.356;-154.29;60.64;579;"COMX"
"k256";0;0;0;43.54;0;0.4;0;0;29.33;0;0;0;0;4.3;0;0.9;0;0;0;0;0;11.01;0;0;0;7.71;0;0;2.8;0;0;814.728;-25.805;681.634;95.608;-4.6;15.509;-155.05;60.16;93;"COMX"
"k257";0;0;0;37;0;0.2;0;0;31.1;0;0;0;0;14.1;0;4.1;0;0;0;0;0;4.7;0;0.2;0;7.8;0;0;0.8;0;0;793.642;-26.205;608.924;95.035;-4.871;15.37;-156.28;60.05;91;"COMX"
"k258";0;0;0;49.39;0;0.51;0;0;23.74;0;0;0;0;5.56;0;2.63;0;0;0;0;0;3.13;0;0;0;14.55;0;0;0.51;0;0;920.948;-23.93;915.895;108.821;-3.258;16.279;-156.89;59.38;83;"COMX"
"k259";0;0;0;38.98;0;0.8;0;0;31.86;0;0;0;0;4.91;0;5.11;0;0;0;0;0;2.4;0;0;0;14.43;0;0;1.5;0;0;820.429;-25.94;715.368;93.302;-4.639;15.544;-156.03;59.18;61;"COMX"
"k260";0;0;0;43.74;0;0;0;0;24.72;0;0;0;0;9.51;0;1.8;0;0;0;0;0;3.3;0;0;0;14.51;0;0;2.4;0;0;835.119;-24.74;641.448;100.093;-4.045;15.643;-155.95;58.77;223;"COMX"
"k261";0;0;0;40.04;0;0.8;0;0;30.73;0;0;0;0;11.31;0;1.7;0;0;0;0;0;1.9;0;0;0;12.01;0;0;1.5;0;0;937.548;-23.881;1001.277;107.382;-3.164;16.388;-156.73;58.81;49;"COMX"
"k262";0;0;0;27.8;0;1.8;0;0;22.8;0;0;0;0;16.9;0;6.6;0;0;0;0;0;0.9;0;0;0;22.5;0;0;0.7;0;0;927.979;-24.052;952.223;106.179;-3.28;16.322;-157.78;58.74;45;"COMX"
"k263";0;0;0;17.52;0;2;0;0;27.83;0;0;0;0;24.92;0;10.91;0;0;0;0;0;0.2;0;0;0;16.42;0;0;0.2;0;0;719.378;-28.217;372.924;80.906;-6.102;14.858;-159.15;58.79;5;"COMX"
"k264";0;0;0;30.7;0;0.7;0;0;21.6;0;0;0;0;10.2;0;0.2;0;0;0;0;0;9.7;0;0;0;24.3;0;0;2.6;0;0;923.149;-24.147;909.144;106.882;-3.339;16.297;-158.27;59.52;43;"COMX"
"k267";0;0;0;43.1;0;1.2;0;0;17.6;0;0;0;0;10.7;0;3.4;0;0;0;0;0;0.5;0;0;0;20.8;0;0;2.7;0;0;1012.106;-22.461;994.57;117.172;-2.16;16.945;-160.08;59.13;50;"COMX"
"k269";0;0;0;10.4;0;1;0;0;29.6;0;0;0;0;17.2;0;9.8;0;0;0;0;0;0.8;0;0;0;29.8;0;0;1.4;0;0;896.613;-24.925;567.104;100.476;-3.794;16.137;-161.78;59.75;10;"COMX"
